i	I
smb	somebody
smd	someday
smh	somehow
smo	someone
smp	someplace
smg	something
smt	sometime
smts	sometimes
smw	somewhat
smr	somewhere
xxx	son
xxx	song
xxx	songs
xxx	soon
xxx	sort
xxx	sought
xxx	sound
xxx	source
xxx	sources
xxx	south
xxx	southern
spc	space
spcd	spaced
spcs	spaces
spcg	spacing
xxx	speak
xxx	speaking
spl	special
sply	specially
spls	specials
xxx	specific
xxx	speech
xxx	speed
xxx	spent
xxx	spirit
xxx	spiritual
xxx	spite
xxx	spoke
xxx	spot
xxx	spread
xxx	spring
xxx	square
xxx	st
xxx	staff
xxx	stage
xxx	stand
std	standard
stds	standards
xxx	standing
xxx	stands
xxx	stared
xxx	start
xxx	started
xxx	starting
st	state
xxx	stated
stm	statement
stms	statements
sts	states
xxx	station
xxx	stations
xxx	status
xxx	stay
xxx	stayed
xxx	step
xxx	steps
stl	still
xxx	stock
xxx	stone
xxx	stood
xxx	stop
xxx	stopped
xxx	store
xxx	stories
xxx	story
xxx	straight
xxx	strange
xxx	street
xxx	streets
xxx	strength
xxx	stress
xxx	strong
xxx	struck
stc	structure
stcd	structured
stcs	structures
stcg	structuring
xxx	struggle
xxx	student
xxx	students
xxx	studied
xxx	studies
xxx	study
xxx	style
sbj	subject
sbjd	subjected
sbjg	subjecting
sbjs	subjects
xxx	substantial
xxx	success
xxx	successful
sh	such
xxx	suddenly
xxx	sufficient
sg	suggest
sgd	suggested
sgg	suggesting
sgn	suggestion
sgx	suggestions
sgv	suggestive
sgs	suggests
xxx	summer
xxx	sun
xxx	sunday
xxx	supply
xxx	support
xxx	suppose
xxx	supposed
xxx	sure
xxx	surface
xxx	surprised
xxx	sweet
sys	system
syss	systems
tbl	table
tbls	tables
tk	take
tkn	taken
tks	takes
tkg	taking
xxx	talk
xxx	talked
xxx	talking
xxx	task
xxx	taste
xxx	tax
xxx	teacher
xxx	teachers
xxx	teaching
xxx	team
tch	technical
tchy	technically
xxx	technique
xxx	techniques
xxx	teeth
xxx	telephone
tl	tell
tlg	telling
tls	tells
xxx	temperature
tmps	temporaries
tmp	temporary
xxx	ten
xxx	tension
xxx	term
xxx	terms
xxx	test
xxx	tests
xxx	texas
xxx	text
tn	than
tnk	thank
tnkd	thanked
tnkg	thanking
tnks	thanks
tt	that
ttd	that'd
ttl	that'll
tts	that's
d	the
thr	their
em	them
ems	themselves
xxx	theme
xxx	then
xxx	theory
tr	there
xxx	there's
trf	therefore
ts	these
ty	they
tyl	they'll
tyv	they've
xxx	thick
xxx	thin
tg	thing
tgs	things
thk	think
thkg	thinking
thkr	thinker
thks	thinks
xxx	third
xxx	thirty
th	this
xxx	thomas
ths	those
tho	though
tht	thought
thtf	thoughtful
thts	thoughts
xxx	thousand
tre	three
thh	through
thht	throughout
xxx	thus
tm	time
tmd	timed
tmr	timer
tmz	timers
tms	times
tmg	timing
xxx	title
e	to
tod	today
tog	together
td	told
xxx	tom
tmw	tomorrow
xxx	tone
tgt	tonight
xxx	too
xxx	took
xxx	top
tot	total
toty	totally
tots	totals
xxx	touch
twd	toward
twds	towards
xxx	town
xxx	trade
xxx	tradition
xxx	traditional
xxx	traffic
xxx	train
xxx	training
xxx	travel
xxx	treated
xxx	treatment
xxx	tree
xxx	trees
xxx	trial
xxx	tried
xxx	trip
trb	trouble
trbs	troubles
xxx	truck
xxx	true
xxx	truly
xxx	truth
xxx	try
xxx	trying
xxx	tuesday
xxx	turn
xxx	turned
xxx	turning
xxx	twenty
xxx	twice
xxx	two
xxx	type
xxx	types
xxx	typical
xxx	ultimate
xxx	uncle
und	under
uns	understand
unsg	understanding
unss	understands
unsd	understood
unn	union
unq	unique
ut	unit
utd	united
uts	units
uty	unity
unv	universe
unvy	university
unl	unless
utl	until
xxx	unusual
xxx	up
xxx	upon
xxx	upper
xxx	us
uub	usable
uu	use
uud	used
uuf	useful
uufy	usefully
uul	useless
uur	user
uuz	users
uus	uses
uug	using
xxx	usual
uuy	usually
vay	valley
vlb	valuable
vlbs	valuables
vl	value
vls	values
vry	variety
vr	various
xxx	vast
vy	very
vcy	victory
vw	view
vlg	village
vsn	vision
vst	visit
vtl	vital
vc	voice
vlm	volume
xxx	vote
xxx	wage
xxx	wait
xxx	waited
xxx	waiting
xxx	walk
xxx	walked
xxx	wall
xxx	walls
wt	want
wtd	wanted
wtg	wanting
wts	wants
xxx	warm
v	was
vt	wasn't
wah	watch
wahd	watched
wahg	watching
wtr	water
wa	way
xxx	ways
wel	we'll
wer	we're
xxx	weapons
xxx	weather
xxx	week
xxx	weeks
wgt	weight
xxx	well
xxx	went
wr	were
wrt	weren't
xxx	west
xxx	western
wh	what
whv	whatever
xxx	wheel
wn	when
wnv	whenever
whr	where
whrv	wherever
whhr	whether
whh	which
whi	while
wht	white
whtr	whiter
wo	who
wov	whoever
whl	whole
wm	whom
whs	whose
wy	why
xxx	wide
wf	wife
xxx	wild
wl	will
wls	wills
wld	willed
wlg	willing
xxx	wind
xxx	window
xxx	wine
xxx	winter
xxx	wish
w	with
wtn	within
wtt	without
wvs	wives
wiz	wizard
wizs	wizards
wom	woman
wmn	women
wnt	won't
wdr	wonder
wdrd	wondered
wdrf	wonderful
wdry	wonderfully
xxx	word
xxx	words
xxx	wore
wk	work
wkd	worked
wkr	worker
wkz	workers
wkg	working
wks	works
wrd	world
wrds	worlds
wry	worry
wrh	worth
wd	would
wdt	wouldn't
wri	write
wrir	writer
wriz	writers
wris	writes
wrig	writing
wrij	writings
wrin	written
wrg	wrong
wrgd	wronged
wrgy	wrongly
wro	wrote
yd	yard
yds	yards
yr	year
yz	years
ysd	yesterday
ye	yet
u	you
ud	you'd
ul	you'll
ur	you're
uv	you've
yg	young
ygr	younger
ygt	youngest
y	your
ys	yours
ysf	yourself
yh	youth
